Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Hockerton Housing Project,http://www.hockertonhousingproject.org.uk,https://communityenergyengland.org/files/img_cache/2016/340_260_1669907935_HockertonHousingProject.png?1669973578,"Our mission is to, by practical example, act as a catalyst for change towards ecologically sound and sustainable ways of living. 

Hockerton Housing Project is a community of sustainable homes. It incorporates a business and a self-sufficient co-housing development. 

The business, not-for-profit co-operative hosts tours and courses, and provides consultancy services to help others deliver sustainability in their home, community or workplace.

Come and say hello! Find out the answers to your questions. Be the change with us!","The Watershed
Gables Drive
Hockerton, Southwell, Nottinghamshire",NG25 0QU,53.097533,-0.929961
Hope Valley Climate Action,https://hopevalleyclimateaction.org.uk/,https://communityenergyengland.org/files/img_cache/2220/340_260_1675866243_HVCA-Logo-hi-res-300x3001.png?1675884472,"Hope Valley Climate Action seeks to provide a local response to the global climate crisis we all face.  Through our campaigns, advocacy and local projects we aim to tackle the causes and consequences of climate change and to make a positive difference to the future of the Hope Valley and beyond. 

If you want to get involved in our work, we’d love to hear from you.",,S33 0EA,,
Hope Valley Community Energy,https://hopevalleyrenewables.com/,,"Hope Valley Renewables is a member driven Community Benefit Society. Our goal is to develop sustainable renewable energy projects that reduce CO2 emissions within the Hope Valley. The business of the society aims to benefit the community by:

- Reducing the carbon footprint of the people, homes and businesses in the Hope Valley
- Exploring sustainable ways to generate renewable energy locally
- Re-investing profits in projects that support the local community's response to the climate emergency
- Improving bio-diversity in the Valley
- Providing opportunities for local people of all ages to take positive action to combat climate change
- Providing a funnel and a delivery group for community projects","The Cottage, Cherry Tree Square, Tideswell, Derbyshire",SK17 8JZ,53.275918,-1.774568
Humshaugh Net Zero CIC,https://www.humshaughnetzero.org/,https://communityenergyengland.org/files/img_cache/2187/340_260_1675182178_Humshaugh.jpg?1675196834,"Our Vision
- To achieve Net Zero in the Parish of Humshaugh by 2030;
- To provide clear and unbiased information on achieving Net Zero to residents, businesses, landowners and farmers;
- To investigate and pursue opportunities in the Parish, and surrounding area; for improving home and transport energy-efficiency, thereby reducing carbon emissions, and developing low carbon energy production, storage and use;
- To monitor and communicate progress towards Net Zero by 2030;
- To reduce fuel poverty within the Parish;
- To improve the energy efficiency of low income households and ensure they are not disadvantaged by moves to Net Zero;
- To support efforts to reduce carbon emissions elsewhere;
- To help others start and develop similar initiatives by making details of our history, information & achievements freely available.",,NE46 4DN,55.032187,-2.128382
Hydrock Consultants Limited,,https://communityenergyengland.org/files/img_cache/2480/340_260_1698940075_Hydrocklogofullcolourtransparentbackground.png?1698940093,"Stantec is a global leader in sustainable engineering, architecture, and environmental consulting. With every community, we redefine what's possible.","Over Court Barns, Over Lane, Almondsbury, Bristol",BS32 4DF,51.539617,-2.59699
IFEES-EcoIslam,http://ifees.org.uk,https://communityenergyengland.org/files/img_cache/2015/340_260_1669907865_IfeesEcoIslam.jpg?1669908640,IFEES has an international reputation as leaders in developing an Islamic approach to environmental protection & natural resource management,,B12 9LQ,52.459419,-1.894743
Itay Noy,,,,,,,
Joju solar,,https://communityenergyengland.org/files/img_cache/1924/340_260_1668592574_Jojusolar.png?1668638672,"Joju Solar are UK experts in solar energy, battery storage and electric vehicle charging. Founded in 2006, we work with homes, universities and councils to deliver renewable energy solutions.",,EC1A 4AE,51.520793,-0.097729
Kelsale-Cum-Carlton Community Energy,http://www.power4kcc.org/,https://communityenergyengland.org/files/img_cache/2013/340_260_1669907693_KelsaleCC.png?1669908640,"Welcome to the website of Power4KcC. We're a community-owned energy cooperative, (registered as Kelsale-cum-Carlton Community Energy Ltd.), committed to growing the local area's green energy supply and making the benefits open to all.",,IP17 2PG,52.23353,1.497766
Kent Community Energy,https://www.kentcommunityenergy.org/,https://staging.kentcommunityenergy.org/wp-content/uploads/2024/05/header-logo.webp,"A Kent based society working on community energy projects in the area served by Kent County Council, UK",,SE1 7PB,51.5025,-0.119384
Keynsham Community Energy,https://www.keynshamcommunityenergy.org.uk/,https://www.keynshamcommunityenergy.org.uk/cms/img/2020/12/kce_05_main_logo_2020-logo-full-colour-rgb.png,"We are Keynsham Community Energy

Our purpose is to provide affordable, clean energy to communities in Keynsham.

As a Community Benefit Society, we raise funds in the local community to install local, green energy projects and use our surplus profits to help reduce your energy bills.

Our energy projects offer community investment opportunities as well as reducing energy costs and carbon emissions.","22 Priory Road, Bristol, Bath and North East Somerset",BS31 2BX,51.419162,-2.497727
Kirkbymoorside And District Energy Society Ltd,http://kirkbymoorsideanddistrictenergysociety.weebly.com,https://communityenergyengland.org/files/img_cache/2011/340_260_1669907593_Kirkbymoorsideanddistrictenergy.jpg?1669908640,"We are Kirkbymoorside and District Energy Society Ltd, an Industrial & Provident Society for the benefit of the community. We formed in March 2013.

Renewable Energy could be generated in various ways for Kirkbymoorside, but for our first few years we are working on Solar PV. We are bringing together people who would like to invest in solar power with others who would like solar PV panels on their home, business premises or community building.",,YO62 6AR,54.269403,-0.933976
Knowsley Development Trust Ltd,https://www.facebook.com/knowsleydevelopmenttrust/,https://knowsleytrust.org/wp-content/uploads/2025/04/LOGO__KDT.webp,,"North Mersey Business Centre, Woodward Road, Knowsley Industrial Park, Liverpool, Merseyside",L33 7UY,53.489772,-2.850378
Lambeth Community Solar,https://www.repowering.org.uk/lambeth-community-solar/,https://communityenergyengland.org/files/img_cache/2062/340_260_1671200923_lambethcommunity.png?1671220973,Lambeth Community Solar (LCS) is installing community-owned solar panels on schools and community buildings across the borough of Lambeth.,,SW9 9SP,51.464706,-0.115104
Leeds Community Energy,https://www.climateactionleeds.org.uk/sector-and-campaign-support,https://communityenergyengland.org/files/img_cache/2913/340_260_1748938196_33.png?1748960279,"Climate Action Leeds supports sectors on the issue of climate change with a focus on climate justice. We have seven Transition Partners, each experts in their area of work, who can advise and support the other elements of the Climate Action Leeds programme, such as Community Hubs.",,LS2 9HZ,53.806633,-1.549896
Lendology CIC,,https://communityenergyengland.org/files/img_cache/2223/340_260_1675866567_Lendology.png?1675941412,Home improvement loans funded by your local council. Lendology offer eligible homeowners & landlords loans for home repairs or improvements.,,TA4 1EU,,
